pair	class	pdf	printed	scene	canonical_path	canonical_line	scene_path	scene_line	canonical_text	scene_text
187	whitespace-only	24	16	16	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	222	works/tirumbippaar/scenes/scene-16.md	12	கருடன் : அந்தப் பயல் பாண்டியன் நம்ப விஷயத்திலே குறுக்கிட்டு கொண்டேயிருக்கிறான். அன்னைக்கு என்னடான்னா நாடகம் நடத்தி நம்ம கொள்கையை கிண்டல் பண்றான். இன்னைக்கு என்னடான்னா நம்ப கல்யாணம் பண்ணிக்க வேண்டிய பெண்ணை ..	கருடன்: அந்தப் பயல் பாண்டியன் நம்ப விஷயத்திலே குறுக்கிட்டு கொண்டேயிருக்கிறான். அன்னைக்கு என்னடான்னா நாடகம் நடத்தி நம்ம கொள்கையை கிண்டல் பண்றான். இன்னைக்கு என்னடான்னா நம்ப கல்யாணம் பண்ணிக்க வேண்டிய பெண்ணை ..
189	whitespace-only	24	16	16	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	224	works/tirumbippaar/scenes/scene-16.md	16	கருடன் : இல்லை. நீ கல்யாணம் பண்ணிக்க வேண்டிய பெண்ணை ...	கருடன்: இல்லை. நீ கல்யாணம் பண்ணிக்க வேண்டிய பெண்ணை ...
190	whitespace-only	24	16	16	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	225	works/tirumbippaar/scenes/scene-16.md	18	பரந்தாமன் : யார் விட்டார்கள்.	பரந்தாமன்: யார் விட்டார்கள்.
192	whitespace-only	25	17	17	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	235	works/tirumbippaar/scenes/scene-17.md	10	பரந்தாமன் : பாமா!	பரந்தாமன்: பாமா!
195	whitespace-only	25	17	17	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	238	works/tirumbippaar/scenes/scene-17.md	16	பரந்தாமன் : ஸ்...சத்தம் போடாதே ! தூங்குபவர்கள் விழித்துக் கொள்வார்கள். பாமா என்னைப் பார்! பார்க்கமாட்டாயா..... ஏன் பாமா என்னை இப்படி ஏமாற்றினாய்...	பரந்தாமன்: ஸ்...சத்தம் போடாதே! தூங்குபவர்கள் விழித்துக் கொள்வார்கள். பாமா என்னைப் பார்! பார்க்கமாட்டாயா..... ஏன் பாமா என்னை இப்படி ஏமாற்றினாய்...
196	whitespace-only	25	17	17	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	239	works/tirumbippaar/scenes/scene-17.md	18	பாமா : ஏமாற்றுவது எனக்குத் தொழிலல்ல.	பாமா: ஏமாற்றுவது எனக்குத் தொழிலல்ல.
197	quote-dash-glyph	25	17	17	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	240	works/tirumbippaar/scenes/scene-17.md	20	பரந்தாமன் : சரிதான்... கல்யாண தினத்தன்று காணாமற் போய்விட்டானே காதலன். எங்கே போனான். என்ன ஆனான். என்பதைப் பற்றி யெல்லாம் கவலைப்படாமல், அடுத்த காதலனை அவசரமாகத் தேர்ந்தெடுத்த நீ....எதுவும் தெரியாத பேதை ! நான் ஏமாற்றுக்காரன் -அப்படித்தானே...	பரந்தாமன்: சரிதான்... கல்யாண தினத்தன்று காணாமற் போய்விட்டானே காதலன். எங்கே போனான். என்ன ஆனான். என்பதைப் பற்றி யெல்லாம் கவலைப்படாமல், அடுத்த காதலனை அவசரமாகத் தேர்ந்தெடுத்த நீ....எதுவும் தெரியாத பேதை! நான் ஏமாற்றுக்காரன்—அப்படித்தானே...
199	whitespace-only	25	17	17	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	242	works/tirumbippaar/scenes/scene-17.md	24	பரந்தாமன் : சொர்க்கலோகம் போனாலும்,அங்கே சொக்க வைக்கும் திலோத்தமை, மயக்குமொழி மேனகா அத்தனை பேரையும் உதறித் தள்ளிவிட்டு உன் சுந்தர முகத்தை நினைத்தபடி ஆகாயத்திலிருந்து குதித்திருப்பேனே, ஒரு சூனியக்கார லோகத்துக்குப் போய்விட்டேன் பாமா! ஒரு சூனியக்காரன் ஏமாற்றி விட்டான் பாமா!	பரந்தாமன்: சொர்க்கலோகம் போனாலும், அங்கே சொக்க வைக்கும் திலோத்தமை, மயக்குமொழி மேனகா அத்தனை பேரையும் உதறித் தள்ளிவிட்டு உன் சுந்தர முகத்தை நினைத்தபடி ஆகாயத்திலிருந்து குதித்திருப்பேனே, ஒரு சூனியக்கார லோகத்துக்குப் போய்விட்டேன் பாமா! ஒரு சூனியக்காரன் ஏமாற்றி விட்டான் பாமா!
200	whitespace-only	25	17	17	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	243	works/tirumbippaar/scenes/scene-17.md	26	பாமா : என்ன சொல்கிறீர்கள்!	பாமா: என்ன சொல்கிறீர்கள்!
201	whitespace-only	25	17	17	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	244	works/tirumbippaar/scenes/scene-17.md	28	பரந்தாமன் : யாரோ ஒரு மந்திரவாதி.... சாப்பிடுவதற்கு ஒரு காயகல்பம் இருக்கிறது. சாப்பிட்டால் எண்பது வயது வரையில் இளமை மாறாது என்றான். நம்பினேன், சாப்பிட்டேன்.உனக்கும் வாங்கிவர எண்ணினேன். அவன் என்னை எங்கேயோ கொண்டு போய் விட்டான். என்னிடமிருந்த பத்தாயிர ரூபாயையும், உனக்காக நான் வாங்கிய வைர மாலையையும் திருடிக்கொண்டு எங்கேயோ போய்விட்டான்.	பரந்தாமன்: யாரோ ஒரு மந்திரவாதி.... சாப்பிடுவதற்கு ஒரு காயகல்பம் இருக்கிறது. சாப்பிட்டால் எண்பது வயது வரையில் இளமை மாறாது என்றான். நம்பினேன், சாப்பிட்டேன். உனக்கும் வாங்கிவர எண்ணினேன். அவன் என்னை எங்கேயோ கொண்டு போய் விட்டான். என்னிடமிருந்த பத்தாயிர ரூபாயையும், உனக்காக நான் வாங்கிய வைர மாலையையும் திருடிக்கொண்டு எங்கேயோ போய்விட்டான்.
202	whitespace-only	25	17	17	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	245	works/tirumbippaar/scenes/scene-17.md	30	பாமா : போலீஸாருக்குச் சொல்லவில்லையா	பாமா: போலீஸாருக்குச் சொல்லவில்லையா
203	whitespace-only	26	18	17	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	249	works/tirumbippaar/scenes/scene-17.md	34	பரந்தாமன்: இந்த வெட்கக்கேட்டை எப்படி வெளியில் சொல்வது ! மனமொடிந்து அலைந்து திரிந்து இங்கு வந்தேன் . வந்தால், நீ வாழ்க்கைக்கு வேறு திட்டம் போட்டுவிட்டாய் ... பாமா! நான் ஏமாற்றப்பட்டவன்தானா? அந்த மந்திரவாதியைவிட நீ பெரிய ஏமாற்றுக்காரியாகி விட்டாய், பாமா ....	பரந்தாமன்: இந்த வெட்கக்கேட்டை எப்படி வெளியில் சொல்வது! மனமொடிந்து அலைந்து திரிந்து இங்கு வந்தேன். வந்தால், நீ வாழ்க்கைக்கு வேறு திட்டம் போட்டுவிட்டாய்... பாமா! நான் ஏமாற்றப்பட்டவன்தானா? அந்த மந்திரவாதியைவிட நீ பெரிய ஏமாற்றுக்காரியாகி விட்டாய், பாமா....
204	whitespace-only	26	18	17	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	250	works/tirumbippaar/scenes/scene-17.md	36	பாமா: (பரந்தாமனின் காலைப்பிடித்துக் கொண்டு விம்மியபடி ) மன்னித்துவிடுங்கள் என்னை. அப்பாவின் ஆத்திரத்தை என்னால் எதிர்க்க முடியவில்லை.	பாமா: (பரந்தாமனின் காலைப்பிடித்துக் கொண்டு விம்மியபடி) மன்னித்துவிடுங்கள் என்னை. அப்பாவின் ஆத்திரத்தை என்னால் எதிர்க்க முடியவில்லை.
205	whitespace-only	26	18	17	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	251	works/tirumbippaar/scenes/scene-17.md	38	பரந்தாமன் : பொழுதுவிடிந்தால் உனக்குத் திருமணம்.வேறொருவன் மனைவி! உன்னை மன்னிக்க நான் யார்!	பரந்தாமன்: பொழுதுவிடிந்தால் உனக்குத் திருமணம். வேறொருவன் மனைவி! உன்னை மன்னிக்க நான் யார்!
206	whitespace-only	26	18	17	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	252	works/tirumbippaar/scenes/scene-17.md	40	பாமா: என்னைக் காப்பாற்றுங்கள் . இப்போதே அப்பாவிடம் சொல்லி கல்யாணத்தை நிறுத்தி விடலாம்....	பாமா: என்னைக் காப்பாற்றுங்கள். இப்போதே அப்பாவிடம் சொல்லி கல்யாணத்தை நிறுத்தி விடலாம்....
209	quote-dash-glyph	26	18	17	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	255	works/tirumbippaar/scenes/scene-17.md	46	பரந்தாமன்: அழாதே ! அன்புக்கரசி ! அழகுமணி மாளிகையின் அலங்காரத் திருவுருவே. அழித்தெழுதா சித்திரமே - ஆடிவரும் பொன் விளக்கே ! கட்டாணி முத்தழகி ! கண்கவரும் ரத்தினமே ! உன் கண்ணில் நீர் என்றால், என் உள்ளம் கலங்குதய்யோ! அழாதே பாமா !.... அழாதே!	பரந்தாமன்: அழாதே! அன்புக்கரசி! அழகுமணி மாளிகையின் அலங்காரத் திருவுருவே. அழித்தெழுதா சித்திரமே—ஆடிவரும் பொன் விளக்கே! கட்டாணி முத்தழகி! கண்கவரும் ரத்தினமே! உன் கண்ணில் நீர் என்றால், என் உள்ளம் கலங்குதய்யோ! அழாதே பாமா!.... அழாதே!
211	whitespace-only	26	18	17	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	257	works/tirumbippaar/scenes/scene-17.md	50	பரந்தாமன்: வாழ வழி ! இப்போதே இருவரும் வெளியேறி விடுவதுதான்....	பரந்தாமன்: வாழ வழி! இப்போதே இருவரும் வெளியேறி விடுவதுதான்....
212	whitespace-only	26	18	17	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	258	works/tirumbippaar/scenes/scene-17.md	52	பாமா : ஆ	பாமா: ஆ
213	quote-dash-glyph	26	18	17	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	259	works/tirumbippaar/scenes/scene-17.md	54	பரந்தாமன் : தங்கமே கேள் ! தந்தைக்கு ஒரு கடிதம் எழுதி வை. "திருமணம் பிடிக்கவில்லை - வெளியேறி விட்டேன்" என்று சிந்தைக்கினியவளே! சிங்கார மயிலே.... உம் சீக்கிரம் ... எழுது கண்ணே ! என் எழுதாத ஓவியமே எழுது !	பரந்தாமன்: தங்கமே கேள்! தந்தைக்கு ஒரு கடிதம் எழுதி வை. “திருமணம் பிடிக்கவில்லை—வெளியேறி விட்டேன்” என்று சிந்தைக்கினியவளே! சிங்கார மயிலே.... உம் சீக்கிரம்... எழுது கண்ணே! என் எழுதாத ஓவியமே எழுது!
215	whitespace-only	27	19	18	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	269	works/tirumbippaar/scenes/scene-18.md	8	புண்யகோடி : சீக்கிரம் புறப்படுடா தம்பி ! எல்லாம் தயாரா இருக்கு.	புண்யகோடி: சீக்கிரம் புறப்படுடா தம்பி! எல்லாம் தயாரா இருக்கு.
216	whitespace-only	27	19	18	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	270	works/tirumbippaar/scenes/scene-18.md	10	பாண்டியன் : ஊர்வலம் வேணுமாப்பா? எனக்கென்னமோ பிடிக்கலை	பாண்டியன்: ஊர்வலம் வேணுமாப்பா? எனக்கென்னமோ பிடிக்கலை
217	other-punctuation	27	19	18	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	271	works/tirumbippaar/scenes/scene-18.md	12	புண்யகோடி : அது கெட்டுது போ / ஊர்வலமே வேண்டாமா ! நம்ப என்ன அவாளை இவாளை கூப்பிட்டு கச்சேரியா வைக்கப் போறோம். கொஞ்சம் சிறப்பா, வெறும் மாப்பிள்ளை ஊர்வலம் கூடவா கூடாது- பெண் உன் பக்கத்திலே இருக்கப் போறதில்லை நீ ஏன் வெட்கப் படுறே.	புண்யகோடி: அது கெட்டுது போ! ஊர்வலமே வேண்டாமா! நம்ப என்ன அவாளை இவாளை கூப்பிட்டு கச்சேரியா வைக்கப் போறோம். கொஞ்சம் சிறப்பா, வெறும் மாப்பிள்ளை ஊர்வலம் கூடவா கூடாது—பெண் உன் பக்கத்திலே இருக்கப் போறதில்லை நீ ஏன் வெட்கப் படுறே.
218	whitespace-only	27	19	18	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	272	works/tirumbippaar/scenes/scene-18.md	14	(பாண்டு வாத்யம் திடீரென நிற்கிறது. ஒருவன் புண்யகோடியின் காதில் பெண் ஓடிவிட்டாள் என்ற செய்தியைக் கூறுதல். பாண்டியன் திகைப்பு )	(பாண்டு வாத்யம் திடீரென நிற்கிறது. ஒருவன் புண்யகோடியின் காதில் பெண் ஓடிவிட்டாள் என்ற செய்தியைக் கூறுதல். பாண்டியன் திகைப்பு)
219	quote-dash-glyph	27	19	19	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	278	works/tirumbippaar/scenes/scene-19.md	6	[பூமாலை ஊருக்குப் புறப்பட ஏற்பாடு செய்கிறாள் - அவளிடம் பாடம் கற்கும் ஒரு பெண் வந்து]	[பூமாலை ஊருக்குப் புறப்பட ஏற்பாடு செய்கிறாள்—அவளிடம் பாடம் கற்கும் ஒரு பெண் வந்து]
220	whitespace-only	27	19	19	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	279	works/tirumbippaar/scenes/scene-19.md	8	பெண் : பட்டணத்துக்கு ஏம்மா போறீங்க...	பெண்: பட்டணத்துக்கு ஏம்மா போறீங்க...
221	whitespace-only	27	19	19	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	280	works/tirumbippaar/scenes/scene-19.md	10	பூமாலை : குமுதாவுக்கு பரிக்ஷை முடிவு ரெண்டுநாளில் தெரிந்துவிடும். அவளை அழைத்து வருவதற்காகப் போகிறேன்	பூமாலை: குமுதாவுக்கு பரிக்ஷை முடிவு ரெண்டுநாளில் தெரிந்துவிடும். அவளை அழைத்து வருவதற்காகப் போகிறேன்
225	whitespace-only	27	19	19	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	284	works/tirumbippaar/scenes/scene-19.md	18	பூமாலை: அப்படியா! (யோசனை) ம்... பரந்தாமன் எங்கே ?	பூமாலை: அப்படியா! (யோசனை) ம்... பரந்தாமன் எங்கே?
226	whitespace-only	28	20	19	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	288	works/tirumbippaar/scenes/scene-19.md	22	குண்டுமணி : அவரு... அவரு...ம் ...அவருகூட மெட்ராஸ் போகணும்னு கருடன் கிட்ட சொல்லிக்கிட்டு இருந்தாரு.	குண்டுமணி: அவரு... அவரு...ம்... அவருகூட மெட்ராஸ் போகணும்னு கருடன் கிட்ட சொல்லிக்கிட்டு இருந்தாரு.
227	whitespace-only	28	20	19	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	289	works/tirumbippaar/scenes/scene-19.md	24	பூமாலை : (சிந்தனை) ம்... சரி புறப்படு. ரயிலுக்கு நேரமாச்சு.	பூமாலை: (சிந்தனை) ம்... சரி புறப்படு. ரயிலுக்கு நேரமாச்சு.
229	whitespace-only	28	20	20	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	296	works/tirumbippaar/scenes/scene-20.md	8	குண்டுமணி : அம்மா ! அப்ப நான் அடுத்த வண்டீல ஏறிக்கிறேன்.	குண்டுமணி: அம்மா! அப்ப நான் அடுத்த வண்டீல ஏறிக்கிறேன்.
232	whitespace-only	28	20	20	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	299	works/tirumbippaar/scenes/scene-20.md	14	பாண்டியன் : இல்லை வேண்டாம்.	பாண்டியன்: இல்லை வேண்டாம்.
234	whitespace-only	28	20	20	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	301	works/tirumbippaar/scenes/scene-20.md	18	பாண்டியன் : ரொம்ப நன்றி ! நீங்கள் சாப்பிடுங்கள் !....	பாண்டியன்: ரொம்ப நன்றி! நீங்கள் சாப்பிடுங்கள்!....
235	whitespace-only	28	20	20	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	302	works/tirumbippaar/scenes/scene-20.md	20	பூமாலை : நீங்கள் எந்த ஊருக்குப் போகிறீர்கள்.	பூமாலை: நீங்கள் எந்த ஊருக்குப் போகிறீர்கள்.
238	whitespace-only	28	20	20	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	305	works/tirumbippaar/scenes/scene-20.md	26	பாண்டியன் : என்னைத் தெரியுமா உங்களுக்கு !..	பாண்டியன்: என்னைத் தெரியுமா உங்களுக்கு!..
239	whitespace-only	28	20	20	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	306	works/tirumbippaar/scenes/scene-20.md	28	பூமாலை : தெரியும் ...இதோ . (புத்தகத்தைக் காட்டுதல்)	பூமாலை: தெரியும்... இதோ. (புத்தகத்தைக் காட்டுதல்)
240	bracket-parenthesis	28	20	20	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	307	works/tirumbippaar/scenes/scene-20.md	30	பாண்டியன் (தலையைத் தாழ்த்தியபடி) வெட்கக் கேடு அய்யோ...	பாண்டியன்: (தலையைத் தாழ்த்தியபடி) வெட்கக் கேடு அய்யோ...
241	whitespace-only	28	20	20	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	308	works/tirumbippaar/scenes/scene-20.md	32	பூமாலை : வருத்தப்படாதீர்கள்.	பூமாலை: வருத்தப்படாதீர்கள்.
244	whitespace-only	29	21	20	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	314	works/tirumbippaar/scenes/scene-20.md	40	பாண்டியன் : போதும் உலகத்தின் முகத்திலேயே நான் விழிக்கக் கூடாது!	பாண்டியன்: போதும் உலகத்தின் முகத்திலேயே நான் விழிக்கக் கூடாது!
245	whitespace-only	29	21	20	works/tirumbippaar/transcription/parts/part-02-pdf-14-35.md	315	works/tirumbippaar/scenes/scene-20.md	42	பூமாலை : நீங்கள் ஒரு தவறும் செய்யவில்லையே.	பூமாலை: நீங்கள் ஒரு தவறும் செய்யவில்லையே.
